feature,coef
appx page applicant,-0.07321860432276676
brother citizen,-0.07320721862543784
facilities,-0.07310792285571939
continue maintain,-0.07302829685018536
teacher,-0.07298503659712939
graduate school,-0.07291485195672043
finding,-0.0728532166830314
bank account applicant,-0.07273736148051643
applicant travell,-0.07272381994939067
state warn citizen,-0.07262823622187653
explain,-0.0724898166726092
government facilities,-0.07242280084462226
support family,-0.07235840405762932
access sensitive,-0.07229829328342638
spouse son,-0.07222726557826917
unite arab,-0.07216143643113361
applicant lawyer,-0.07214186413031044
applicant loyal,-0.07207899616047236
november 2017 applicant,-0.0720740275059079
applicant say family,-0.07200789581004173
say family,-0.07200789581004173
unlawful arbitrary killings,-0.07194038813425442
tr 46,-0.07186817201705917
disappearances torture,-0.07179881979874186
isis control,-0.07178552287612003
group active iraq,-0.07176047108233184
force civilians,-0.07163869617440671
security force civilians,-0.07163869617440671
regularly attack iraqi,-0.07163869617440671
regularly attack,-0.07163869617440671
active iraq,-0.07161175521834345
following finding,-0.07154009054884712
following finding fact,-0.07154009054884712
applicant affiliate,-0.07148318167724821
applicant child born,-0.07147095038848157
applicant obtain,-0.07143398789492598
retire position,-0.07140240627004814
55 56,-0.07138029783795591
fact,-0.07131780471801291
position applicant,-0.07124797383761403
rent,-0.07123142744994958
government military,-0.07119806959984604
violent,-0.07113852455338329
phone social,-0.07111253958847448
labor,-0.07108397268833665
video,-0.07082909125857986
information provide concern,-0.07076978300170048
provide concern,-0.07076978300170048
applicant post hearing,-0.07075951135589024
post hearing exhibit,-0.07075951135589024
close continue,-0.07075464484010172
law previously work,-0.07073484320831294
social security,-0.07073355202624629
applicant affiliate government,-0.07067876318196475
spousal,-0.07063659635732364
2017 january,-0.07059236548358827
government official,-0.07056340896075963
arab,-0.07048859938889597
media,-0.07046013674465795
omit,-0.07045759569636108
august 2018,-0.07041763715442056
applicant sponsor,-0.07041155521030394
continue receive,-0.07039509444965744
november 2010,-0.07029652266254675
little warning,-0.07024657606511045
hezbollah,-0.07024406698619765
tell investigator applicant,-0.07021968436613597
east,-0.07015250045700254
state investigator,-0.07009026924593291
sor item,-0.07006211946900909
china tr,-0.0700340563057389
applicant travel iraq,-0.06999806723074482
admission incorporate finding,-0.06995696760311361
interrogatories applicant,-0.06990947448414352
january 2018,-0.06987721195777201
joint communique,-0.0698379590184744
communique,-0.0698379590184744
card status,-0.0697659385523669
green card status,-0.0697659385523669
hearing applicant provide,-0.0697350562397666
terrorist insurgent group,-0.06957271585021703
condition country,-0.06954636190588613
45,-0.06953060088026555
applicant visit applicant,-0.06952520550676648
core,-0.06952485826520756
applicant like,-0.0695069700233175
affect,-0.06949576295106467
control,-0.06940821102458274
applicant attend university,-0.06935504318847203
ax tr,-0.06923179841104038
