feature,coef
probation years,-0.023590802566310787
letter,-0.02358403042070227
despite,-0.023580718653499307
portion,-0.0235322778343302
account sor,-0.023526319773853582
collection account sor,-0.023526319773853582
special,-0.023510479352618213
83,-0.023505184821988778
applicant come,-0.023426063501866413
individuals,-0.023403034916723197
day,-0.023371680321281146
gnc,-0.02336077734504946
sergeant,-0.023354605994771113
information applicant disclose,-0.02334481290090745
accord,-0.02333913120722631
federal government,-0.023268871616817878
expertise,-0.023259439866865808
coworker help,-0.02325048662554103
coworker help applicant,-0.02325048662554103
tr 26 applicant,-0.023246100478888754
hearing officer,-0.023233262202515245
alj,-0.023233262202515245
defense contractor january,-0.023220830667352303
applicant sentence month,-0.02320263327349967
random,-0.023188171962812452
save image,-0.023180801131463934
issue laptop,-0.023180801131463934
15 model,-0.023180801131463934
girls age,-0.023180801131463934
image nake,-0.023180801131463934
image nake woman,-0.023180801131463934
save image nake,-0.023180801131463934
company issue laptop,-0.023180801131463934
nake woman,-0.023180801131463934
child sexual,-0.02317645236015423
fact thorough careful,-0.02316282539156678
software engineer,-0.023098522688341692
pursue master degree,-0.0230719015324597
pursue master,-0.0230719015324597
11 13,-0.02306629715310513
18,-0.023064611317754787
korea,-0.023062898800843532
2017 applicant,-0.023018067895727398
line spouse,-0.023011843542063003
18 25 applicant,-0.023011843542063003
page line spouse,-0.023011843542063003
line spouse unaware,-0.023011843542063003
dress,-0.022986887114041992
80,-0.022974256271534925
profile,-0.022969717109649544
perform,-0.022954506285008537
february 2015,-0.022924259026023363
young girl,-0.022877116361847593
commercial,-0.022874100774670107
expectations,-0.022871836850102883
summer,-0.02279487120278363
applicant allow,-0.022759327513107726
women applicant,-0.022746989869777866
army reserve,-0.02273753947906648
applicant falsify,-0.02271076303429814
conduct answer,-0.02270740030635178
facing,-0.02270718014208994
applicant aske,-0.022676646764204056
applicant answer cross,-0.02267392483406362
2017 item,-0.02267392483406362
answer cross,-0.02267392483406362
week,-0.022643559539775624
police report,-0.022642636722191366
young girls,-0.022640233326214315
drink alcohol,-0.022627753608847796
surround,-0.022625117464173297
admit january,-0.02261697329634716
applicant admit january,-0.02261697329634716
unauthorize,-0.022605810714932634
neighbor,-0.022596972586099984
va,-0.022580365307984563
compliant,-0.022571182136470185
additional finding fact,-0.022516687715640964
additional finding,-0.022516687715640964
58,-0.02246976910352719
applicant advise,-0.02245904487552744
applicant understand,-0.022428755536204867
missions,-0.02242570517461505
picture perform,-0.02241050157025907
lot,-0.02240991665302284
cash,-0.02240126158274068
applicant solicit,-0.022399987527173808
income tax return,-0.022399274583417034
tell counselor,-0.02239372396568039
applicant engage sexual,-0.022384526422634214
negative effect,-0.022376268529757857
suppose,-0.022365078944468236
september 2006 applicant,-0.022363030348392345
tournament,-0.022363030348392345
department store,-0.022363030348392345
underneath,-0.022363030348392345
engage sex,-0.022361521700252754
applicant inform employer,-0.02236130586607494
june 2014,-0.022351674445263824
apparently,-0.022343444260817635
applicant probation,-0.02233405024549105
person applicant,-0.022262649744145418
provide statement,-0.02225654933930742
2018 applicant state,-0.022250954518332755
fact applicant,-0.022215785432724997
computer view pornography,-0.022214324951642578
concerns,-0.022154838677713635
beautiful girl,-0.022146333046521225
picture applicant,-0.022055423904772307
away,-0.022052666630409546
applicant pursue,-0.02203457518067472
applicant supervisor,-0.021995234643340692
ride,-0.021965620435140346
applicant participate,-0.02193583206349164
2017 2018,-0.021898717890894336
explain applicant,-0.021893510979151157
sit,-0.02176911672988866
person,-0.021766357256577235
personal conduct guideline,-0.02175663942589045
interview applicant tell,-0.021754946298535558
later applicant,-0.02174576364170203
deliberately omit,-0.021741573839143925
omit fail,-0.021741573839143925
recycle,-0.021741573839143925
deliberately omit fail,-0.021741573839143925
equipment home,-0.021741573839143925
omit,-0.021741573839143925
